slug,chain,gc_date,entry_date,entry_price_native,exit_30d_price_native,return_30d_native_%,exit_60d_price_native,return_60d_native_%,profitable_30d,profitable_60d
anonymice,ethereum,2023-01-13,2023-01-13 +7d,0.25024864864864865,0.296,18.282357007084837,0.24513076923076926,-2.0451177041379105,True,False
proof-moonbirds,ethereum,2025-06-24,2025-06-24 +7d,0.67,2.195,227.61194029850742,2.88,329.8507462686567,True,True
undeadszombies,ethereum,2025-10-06,2025-10-06 +7d,0.099,0.099997,1.007070707070705,0.0895,-9.595959595959604,True,False
lives-of-asuna,ethereum,2025-10-20,2025-10-20 +7d,0.015799,0.014999,-5.063611620988672,0.02,26.590290524716753,False,True
loot,ethereum,2025-11-20,2025-11-20 +7d,0.06338,0.0849,33.953928684127476,0.098988,56.18176080782581,True,True
gevols,ethereum,2025-11-22,2025-11-22 +7d,0.005,0.0054,8.000000000000004,0.004595,-8.1,True,False
veefriends-series-2,ethereum,2025-11-27,2025-11-27 +7d,0.064779,0.048699,-24.822859259945357,0.0663,2.347983142685121,False,True
ether-capsule,ethereum,2025-11-27,2025-11-27 +7d,0.08,0.07,-12.499999999999993,0.9,1025.0,False,True
murakami-flowers-coin,ethereum,2025-11-28,2025-11-28 +7d,0.01999,0.0243899,22.010505252626302,0.04999,150.07503751875936,True,True
rtfkt-project-animus,ethereum,2025-11-28,2025-11-28 +7d,0.013249,0.005159,-61.06121216695599,0.02421,82.73077213374593,False,True
space-punks-club,ethereum,2025-11-29,2025-11-29 +7d,0.007,0.00343296,-50.95771428571428,0.0164,134.2857142857143,False,True
quirkies-originals,ethereum,2025-12-04,2025-12-04 +7d,0.57,0.56451,-0.9631578947368413,0.8649,51.73684210526317,False,True
fullsend-metacard-nft,ethereum,2025-12-05,2025-12-05 +7d,0.00899,0.02999,233.5928809788654,0.02997,233.37041156840934,True,True
whoopsies,ethereum,2025-12-06,2025-12-06 +7d,0.019,0.0299999,57.894210526315796,0.022,15.789473684210522,True,True
beeple-x-veefriends,ethereum,2025-12-07,2025-12-07 +7d,0.31,0.274999,-11.290645161290325,0.55499799999,79.0316129,False,True
the-wanderers,ethereum,2025-12-09,2025-12-09 +7d,0.0031,0.0037,19.35483870967743,0.00341324,10.104516129032264,True,True
the-empresses-by-damien-hirst,ethereum,2025-12-13,2025-12-13 +7d,0.19,0.28999,52.6263157894737,0.074746,-60.65999999999999,True,False
killergf,ethereum,2025-12-19,2025-12-19 +7d,0.023,0.028586,24.286956521739135,0.02724,18.434782608695656,True,True
re-gens,base,2025-12-20,2025-12-20 +7d,0.02471177,0.04694,89.94997120805188,0.091,268.2455769052561,True,True
rillaz,apechain,2025-12-21,2025-12-21 +7d,21.99999,40.0,81.81826446284748,40.68,84.90917495871588,True,True
drunkees,apechain,2025-12-23,2025-12-23 +7d,5.9,25.0,323.7288135593221,59.0,900.0,True,True
lifinity-flares,solana,2025-12-23,2025-12-23 +7d,10.43,11.6603,11.795781399808243,15.7298,50.8130393096836,True,True
froganas,solana,2025-12-23,2025-12-23 +7d,0.7947,1.169978,47.22259972316598,0.7999,0.654334969170768,True,True
killergf,ethereum,2025-12-25,2025-12-25 +7d,0.023,0.02861,24.39130434782609,0.0223,-3.043478260869562,True,False
decentraland_names,ethereum,2025-12-26,2025-12-26 +7d,0.00179983,0.00257,42.791263619341805,0.0039,116.68713156242532,True,True
nike-rtfkt-cryptokicks-dunk-genesis,ethereum,2025-12-26,2025-12-26 +7d,0.006289,0.007999,27.19033232628397,0.006898,9.68357449515025,True,True
inspirati4n-by-refik-anadol,ethereum,2025-12-26,2025-12-26 +7d,0.028984,0.04999,72.47446867237096,0.04692,61.88241788573007,True,True
crypts-and-caverns-nft,ethereum,2025-12-27,2025-12-27 +7d,0.00149,0.00539,261.744966442953,0.00511,242.95302013422818,True,True
ai-art-is-not-art-claire-silver,ethereum,2025-12-27,2025-12-27 +7d,0.309,0.2575,-16.666666666666664,0.385,24.595469255663435,False,True
saints-of-la,ethereum,2025-12-27,2025-12-27 +7d,0.023789,0.054997,131.1866829206776,,,True,
apes-on-ape,apechain,2025-12-27,2025-12-27 +7d,61.979,47.8969998,-22.720599235224828,78.649,26.896206779715715,False,True
sh-apes,apechain,2025-12-27,2025-12-27 +7d,249.999,214.999,-14.000056000224001,475.0,90.00076000304001,False,True
100-untitled-spaces-by-snowfro,ethereum,2025-12-28,2025-12-28 +7d,2.5,5.55,122.0,3.3,31.999999999999996,True,True
good-vibes-club,ethereum,2025-12-28,2025-12-28 +7d,0.51999888369,0.8477,63.0195807315157,0.75361999,44.92723227638204,True,True
rtfkt-mnlth,ethereum,2025-12-29,2025-12-29 +7d,0.014395,0.027555,91.42063216394581,0.027495,91.00382077110108,True,True
murakami-flowers-coin,ethereum,2025-12-29,2025-12-29 +7d,0.0243899,0.03995,63.79730954206455,0.02395,-1.803615430977577,True,False
perils-of-sese-by-all-seeing-seneca,ethereum,2025-12-29,2025-12-29 +7d,0.004686,0.00468,-0.12804097311139412,0.025997,454.78019632949207,False,True
monkees,apechain,2025-12-29,2025-12-29 +7d,176.484,241.999,37.12234536841866,299.9999999,69.987080925183,True,True
paws-vouchers,solana,2025-12-30,2025-12-30 +7d,0.0032,0.004,24.999999999999996,0.005,56.25,True,True
chain-runners,ethereum,2025-12-31,2025-12-31 +7d,0.018929,0.015996,-15.494743515241172,0.0299999,58.48644936341063,False,True
chainfaces-arena,ethereum,2025-12-31,2025-12-31 +7d,0.005988,0.00599,0.03340013360052435,0.0053549999,-10.571143954575824,True,False
t00bs,solana,2025-12-31,2025-12-31 +7d,3.45,10.8,213.0434782608696,10.8,213.0434782608696,True,True
air-wild-season-0,ethereum,2025-12-31,2025-12-31 +7d,1.52,1.9,24.999999999999993,1.5,-1.3157894736842117,True,False
nekito,apechain,2025-12-31,2025-12-31 +7d,27.52,33.999,23.542877906976756,25.6,-6.9767441860465045,True,False
nyan-heroes,solana,2025-12-31,2025-12-31 +7d,0.025,0.03,19.99999999999999,0.03,19.99999999999999,True,True
spells-of-genesis-curated,ethereum,2025-12-31,2025-12-31 +7d,0.00975,0.00925,-5.128205128205133,0.013,33.33333333333333,False,True
pxn-ghost-division,ethereum,2026-01-01,2026-01-01 +7d,0.00499,0.0089669,79.69739478957916,0.0087299,74.94789579158319,True,True
daizen,apechain,2026-01-01,2026-01-01 +7d,118.979,98.999,-16.79287941569521,222.0,86.58754906328008,False,True
apesea,apechain,2026-01-01,2026-01-01 +7d,16.98,18.0,6.007067137809185,34.0,100.23557126030624,True,True
wicked-craniums,ethereum,2026-01-02,2026-01-02 +7d,0.0062969,0.00618,-1.8564690562022663,0.0089924,42.8067779383506,False,True
adidas-virtual-gear-genesis,ethereum,2026-01-03,2026-01-03 +7d,0.001499,0.00129,-13.942628418945963,0.00214,42.761841227485,False,True
blastrunners,blast,2026-01-03,2026-01-03 +7d,0.0001,0.000799,698.9999999999999,0.00078,679.9999999999999,True,True
smb-barrel,solana,2026-01-04,2026-01-04 +7d,3.37,3.91,16.023738872403563,4.0,18.69436201780415,True,True
conall-in-space,polygon,2026-01-05,2026-01-05 +7d,21.112448830429013,27.098597438734824,28.353644129041427,27.181652484310828,28.747037838331547,True,True
otheregg-genesis,apechain,2026-01-05,2026-01-05 +7d,55.0,67.9979954,23.632718909090897,137.999,150.9072727272727,True,True
clutch-puppies,apechain,2026-01-05,2026-01-05 +7d,339.6139998,690.0,103.17183638081578,375.0,10.419476293921619,True,True
kiwami-genesis,ethereum,2026-01-06,2026-01-06 +7d,0.006199,0.006732,8.598160993708671,0.0094799,52.926278432005155,True,True
lacoste-undw3-the-emerge-nft,ethereum,2026-01-06,2026-01-06 +7d,0.002999,0.003499,16.672224074691563,0.00338,12.70423474491498,True,True
tenjin,ethereum,2026-01-06,2026-01-06 +7d,0.00829,0.00999,20.506634499396863,0.008464,2.098914354644135,True,True
mutant-garden-seeder,ethereum,2026-01-07,2026-01-07 +7d,0.87,0.939999,8.045862068965521,0.599999,-31.03459770114943,True,False
beeple-5000-days-collection,ethereum,2026-01-07,2026-01-07 +7d,11.49,17.0,47.95474325500435,15.2,32.28894691035683,True,True
old-school-cool,polygon,2026-01-07,2026-01-07 +7d,22.099709184307496,19.61363599037535,-11.249348003626448,26.194687499999496,18.529557477614915,False,True
tokengators,apechain,2026-01-07,2026-01-07 +7d,382.6499998,516.0761973799999,34.86899193773368,497.740821,30.077308574455667,True,True
revv-racing-collection,polygon,2026-01-08,2026-01-08 +7d,2.075748426631262,1.7758894836872288,-14.445822966643169,2.168238239053084,4.455733230251042,False,True
paradise-lost-by-ren,ethereum,2026-01-08,2026-01-08 +7d,0.02099,0.02299,9.528346831824669,0.023,9.57598856598379,True,True
rare-pepe-curated,ethereum,2026-01-08,2026-01-08 +7d,0.00218,0.00299999999999,37.614678898623836,0.00309,41.74311926605503,True,True
bricktopians-by-law-degree,ethereum,2026-01-08,2026-01-08 +7d,0.025998,0.048897,88.0798522963305,0.030995,19.220709285329647,True,True
merge,ethereum,2026-01-09,2026-01-09 +7d,0.02989,0.0249799999,-16.42689896286383,0.04999998,67.27995985279358,False,True
rtfkt-project-animus,ethereum,2026-01-09,2026-01-09 +7d,0.02475,0.0259899998,5.0101002020201975,0.0273699,10.585454545454537,True,True
mintotaurs,apechain,2026-01-09,2026-01-09 +7d,99.0,237.41,139.8080808080808,195.0389998,97.00909070707071,True,True
crypts-and-caverns-nft,ethereum,2026-01-11,2026-01-11 +7d,0.00539,0.006,11.317254174397037,0.0046899,-12.988868274582552,True,False
real-nobody-nft,ethereum,2026-01-11,2026-01-11 +7d,0.0232989,0.0379959,63.08023125555283,0.0302393,29.7885307890072,True,True
dsnrs,apechain,2026-01-11,2026-01-11 +7d,20.4489999,38.7599999,89.54472145114536,46.5799999,127.78620043907378,True,True
a-tour-of-hypothetical-waterfalls-by-monica-rizzolli,ethereum,2026-01-12,2026-01-12 +7d,0.09998,0.09999,0.01000200040007614,0.069879,-30.10702140428086,True,False
gitcoin-presents,ethereum,2026-01-12,2026-01-12 +7d,0.00218,0.002448,12.293577981651376,0.002399,10.045871559633028,True,True
hoomans-by-chimkens,base,2026-01-12,2026-01-12 +7d,0.0092861,0.01056769,13.801165182369338,0.01044,12.426099223570706,True,True
collectvox,ethereum,2026-01-13,2026-01-13 +7d,0.01666,0.01669967,0.23811524609843093,0.014798,-11.176470588235299,True,False
inspirati4n-by-refik-anadol,ethereum,2026-01-14,2026-01-14 +7d,0.04995,0.074696,49.541541541541534,0.045766,-8.376376376376376,True,False
ai-art-is-not-art-claire-silver,ethereum,2026-01-14,2026-01-14 +7d,0.5,1.8,260.0,0.41999,-16.002000000000006,True,False
gobs-on-ape,apechain,2026-01-14,2026-01-14 +7d,947.999,1537.7996868999999,62.21532795920669,1407.6599999,48.487498393985646,True,True
michelin-3xplorer-club,ethereum,2026-01-15,2026-01-15 +7d,0.083,0.089996,8.428915662650605,0.063699,-23.254216867469875,True,False
rtfkt-project-animus,ethereum,2026-01-15,2026-01-15 +7d,0.02288,0.02899,26.704545454545443,0.0234297,2.402534965034966,True,True
mintotaurs,apechain,2026-01-15,2026-01-15 +7d,98.7399999,235.93,138.94065245993585,175.439,77.6777396978709,True,True
nature-finds-a-way-by-spongenuity,ethereum,2026-01-16,2026-01-16 +7d,0.19999,0.44999,125.00625031251562,0.44999,125.00625031251562,True,True
intersections-by-rafael-rozendaal,ethereum,2026-01-16,2026-01-16 +7d,0.15,0.22,46.66666666666667,0.15,0.0,True,0.0
goobaloo,apechain,2026-01-16,2026-01-16 +7d,8.74,23.4,167.73455377574368,17.4645,99.82265446224257,True,True
nike-monolith,ethereum,2026-01-17,2026-01-17 +7d,0.00359996,0.00367998,2.2228024755830527,0.00359899999999,-0.02666696324404115,True,False
doodrillas,apechain,2026-01-17,2026-01-17 +7d,22.912,21.959,-4.159392458100556,39.84,73.88268156424583,False,True
the-association-nft,ethereum,2026-01-19,2026-01-19 +7d,0.0017,0.0038,123.52941176470591,,,True,
nameless-dread-by-diewiththemostlikes,ethereum,2026-01-19,2026-01-19 +7d,1.0,1.343369,34.3369,,,True,
dourdarcels,ethereum,2026-01-20,2026-01-20 +7d,0.0077299,0.019779,155.87653139109176,,,True,
nike-monolith,ethereum,2026-01-20,2026-01-20 +7d,0.00359996,0.0036799799999,2.2228024728052476,,,True,
sun-signals-by-kevin-abosch,ethereum,2026-01-20,2026-01-20 +7d,0.1111,0.3499,214.9414941494149,,,True,
doodles-packs,base,2026-01-20,2026-01-20 +7d,0.000148999,0.000149399,0.26845817757166807,,,True,
famous-fox-federation,solana,2026-01-20,2026-01-20 +7d,2.34,3.9507,68.83333333333333,,,True,
bulls-and-apes-genesis,ethereum,2026-01-21,2026-01-21 +7d,0.02982,0.03698,24.010731052984575,,,True,
everyday-artifacts-by-beeple,ethereum,2026-01-21,2026-01-21 +7d,3.3,5.0,51.51515151515152,,,True,
collectvox,ethereum,2026-01-22,2026-01-22 +7d,0.00992,0.016696,68.30645161290322,,,True,
1000x-gem,solana,2026-01-23,2026-01-23 +7d,5.646,6.599,16.879206517888775,,,True,
clonex,ethereum,2026-01-24,2026-01-24 +7d,0.23287,0.2798,20.152874994632196,,,True,
bytegans,ethereum,2026-01-24,2026-01-24 +7d,0.23996998,0.24899,3.7588118313799037,,,True,
furballs,ethereum,2026-01-25,2026-01-25 +7d,0.0009,0.00389,332.2222222222222,,,True,
kamagang,ethereum,2026-01-25,2026-01-25 +7d,0.0044,0.02499,467.9545454545454,,,True,
intimita-by-stefano-contiero,ethereum,2026-01-25,2026-01-25 +7d,0.02869,0.0287,0.03485535029626906,,,True,
lt3,ethereum,2026-01-25,2026-01-25 +7d,0.041,0.0479,16.829268292682915,,,True,
substrata-parcel,ethereum,2026-01-26,2026-01-26 +7d,0.0094,0.03999,325.4255319148936,,,True,
project-godjira-genesis,ethereum,2026-01-26,2026-01-26 +7d,0.02004999,0.025,24.68834149044464,,,True,
luces,solana,2026-01-26,2026-01-26 +7d,0.0146,0.024229779,65.95739041095891,,,True,
re-gens,base,2026-01-26,2026-01-26 +7d,0.0416069,0.0699,68.00098060658209,,,True,
solana-monkey-business-gen3,solana,2026-01-26,2026-01-26 +7d,2.2331,2.299,2.9510545877927576,,,True,
duds,apechain,2026-01-26,2026-01-26 +7d,17.97,17.98999999575389,0.11129658182466393,,,True,
the-vogu-collective,ethereum,2026-01-28,2026-01-28 +7d,0.0064967,0.00898,38.22402142626256,,,True,
primal-cult,apechain,2026-01-28,2026-01-28 +7d,78.0,78.999999,1.2820500000000032,,,True,
twist-by-rafael-rozendaal,ethereum,2026-01-29,2026-01-29 +7d,0.128,0.15,17.187499999999993,,,True,
tomorrowland-the-golden-auric,solana,2026-01-29,2026-01-29 +7d,0.9985,1.579,58.137205808713055,,,True,
drunkees,apechain,2026-01-29,2026-01-29 +7d,24.9,38.9999999999999,56.62650602409599,,,True,
meatbags,solana,2026-01-29,2026-01-29 +7d,0.771285,1.13993,47.796210220605886,,,True,
trippin-ape-tribe,solana,2026-01-29,2026-01-29 +7d,0.12043,0.231126666,91.9178493730798,,,True,
parcl-homeowners-association,solana,2026-01-30,2026-01-30 +7d,0.331220942,0.354406406,6.99999941428824,,,True,
veefriends-series-2,ethereum,2026-01-31,2026-01-31 +7d,0.0692,0.076,9.826589595375722,,,True,
machine-hallucinations-nyc-by-refik-anadol,ethereum,2026-01-31,2026-01-31 +7d,0.344993,0.344994,0.000289860953708845,,,True,
wilderbeasts-wape,ethereum,2026-01-31,2026-01-31 +7d,0.02779,0.03999,43.90068369917236,,,True,
alpha-bananas,apechain,2026-01-31,2026-01-31 +7d,18.43999856,30.0,62.68981747686211,,,True,
jrny-nft-club,ethereum,2026-02-01,2026-02-01 +7d,0.0899,0.09599,6.774193548387111,,,True,
aperillas,apechain,2026-02-01,2026-02-01 +7d,4.0,5.4,35.00000000000001,,,True,
vox-the-walking-dead,ethereum,2026-02-02,2026-02-02 +7d,0.0093,0.01437,54.516129032258085,,,True,
treehouse-squirrel-council,ethereum,2026-02-02,2026-02-02 +7d,0.048999,0.0899,83.47313210473682,,,True,
elevated-deconstructions-art-blocks-curated,ethereum,2026-02-03,2026-02-03 +7d,1.99,3.66,83.91959798994975,,,True,
boredmilady,ethereum,2026-02-03,2026-02-03 +7d,0.05999,0.087999,46.68944824137355,,,True,
hop-starz,apechain,2026-02-03,2026-02-03 +7d,206.0649996,317.2199999,53.941717669554215,,,True,
distance-by-william-mapan-lacma,ethereum,2026-02-04,2026-02-04 +7d,0.46899998,0.49998998,6.607676187960609,,,True,
blvckgenesis,ethereum,2026-02-04,2026-02-04 +7d,0.0097899,0.0099999,2.1450678760763653,,,True,
basepepe,base,2026-02-06,2026-02-06 +7d,0.00379,0.00449,18.469656992084435,,,True,
based-apes-official,base,2026-02-06,2026-02-06 +7d,0.000999599983,0.001579999799,58.06320787022261,,,True,
ape-gang-on-apechain,apechain,2026-02-06,2026-02-06 +7d,62.9989999,99.9999998,58.73267823097616,,,True,
merge-regenesis,ethereum,2026-02-07,2026-02-07 +7d,0.0001179,0.00011999,1.772688719253595,,,True,
rtfkt-egg-animus,ethereum,2026-02-07,2026-02-07 +7d,0.0095949,0.0126979,32.340097343380336,,,True,
grumpls-nft,ethereum,2026-02-07,2026-02-07 +7d,0.007499,0.0089989,20.001333511134835,,,True,
eightbitme,ethereum,2026-02-08,2026-02-08 +7d,0.00848,0.00959,13.089622641509433,,,True,
led-by-jeff-davis,ethereum,2026-02-09,2026-02-09 +7d,0.99999,1.0,0.0010000100000954499,,,True,
clipmatrix-creatures-by-nikolay-jetchev,ethereum,2026-02-09,2026-02-09 +7d,0.0193899,0.0395,103.71430487006121,,,True,
polychrome-music-by-rafael-rozendaal-danny-wolfers,ethereum,2026-02-10,2026-02-10 +7d,0.185,0.189,2.162162162162164,,,True,
nature-finds-a-way-by-spongenuity,ethereum,2026-02-10,2026-02-10 +7d,0.44999,0.45,0.002222271606037912,,,True,
famous-fox-dens,solana,2026-02-10,2026-02-10 +7d,2.29,2.4985,9.104803493449777,,,True,
the-long-lost-nft,ethereum,2026-02-11,2026-02-11 +7d,0.0068,0.0117281,72.47205882352942,,,True,
treehouse-squirrel-council,ethereum,2026-02-12,2026-02-12 +7d,0.040599,0.088899,118.96844749870685,,,True,
crypto-pills-by-micha-klein,ethereum,2026-02-13,2026-02-13 +7d,0.004998,0.005738,14.805922368947583,,,True,
mappings-by-ira-greenberg,ethereum,2026-02-13,2026-02-13 +7d,0.023,0.025,8.695652173913052,,,True,
the-art-of-seasons,ethereum,2026-02-13,2026-02-13 +7d,0.005795,0.006799,17.32528041415014,,,True,
skinvial-evox-nft,ethereum,2026-02-13,2026-02-13 +7d,0.0035,0.005,42.857142857142854,,,True,
a-kid-called-beast,ethereum,2026-02-13,2026-02-13 +7d,0.097979,0.1357687,38.56918319231672,,,True,
sunset-from-the-bluffs-by-nat-sarkissian,ethereum,2026-02-13,2026-02-13 +7d,0.85,0.95,11.764705882352938,,,True,
transdimensional-fox-federation,solana,2026-02-13,2026-02-13 +7d,1.0589,1.199,13.230711115308349,,,True,
psilly-mutants,apechain,2026-02-13,2026-02-13 +7d,46.999,55.0,17.02376646311623,,,True,
winds-of-yawanawa,ethereum,2026-02-15,2026-02-15 +7d,2.99,3.49,16.722408026755854,,,True,
koin-games-dev-squad,ethereum,2026-02-15,2026-02-15 +7d,0.03192,0.051687,61.926691729323316,,,True,
courtyard-nft,polygon,2026-02-16,2026-02-16 +7d,29.995385325334563,39.99999999999999,33.353846153846135,,,True,
